,dataset,last_val_loss
6544,MER-MSSHF-t2m-TCWV-tp-UW-VW-MSLP-Z500,597.3086547851562
6069,MER-RH-SH-TCC-tp-UW-VW-MSLP-Z500,597.450439453125
2247,MER-RH-SH-t2m-TCC-tp-UW-VW-SST-Z500,597.5894165039062
5114,MER-RH-SH-t2m-tp-UW-VW-MSLP-SST,597.6952514648438
3492,MER-MSSHF-RH-SH-t2m-TCC-TCWV-VW-MSLP-SST,597.757568359375
2488,MER-SH-t2m-tp-VW-MSLP-SST-Z500,597.8259887695312
3549,MER-MSSHF-RH-TCC-TCWV-tp-UW-VW,597.9490356445312
2665,MER-RH-SH-TCC-tp-UW-MSLP-SST-Z500,597.9998168945312
3364,MER-MSSHF-TCWV-tp-UW-VW-MSLP-SST,598.0349731445312
3762,RH-SH-t2m-TCC-tp-UW-VW-MSLP-Z500,598.2841186523438
4750,MSSHF-RH-SH-TCC-TCWV-UW-VW-MSLP,598.3359375
4193,MER-RH-SH-t2m-TCC-TCWV-VW-MSLP-Z500,598.4234619140625
6526,SH-t2m-TCWV-tp-UW-VW-MSLP-Z500,598.46630859375
962,RH-t2m-TCC-TCWV-tp-UW-VW-MSLP-Z500,598.5794067382812
3823,MSSHF-RH-t2m-UW-VW-Z500,598.7158203125
5202,MSSHF-RH-SH-t2m-TCC-TCWV-UW-VW-MSLP-SST,598.9198608398438
2897,MER-MSSHF-RH-TCC-TCWV-UW-MSLP-SST-Z500,599.0828247070312
5025,MSSHF-RH-SH-TCC-UW-VW-MSLP-Z500,599.171875
3893,MER-SH-TCC-TCWV-tp-UW-VW-MSLP,599.2554931640625
3112,MSSHF-SH-TCC-TCWV-tp-UW-VW-MSLP-Z500,599.334716796875
879,RH-t2m-TCC-tp-UW-VW-MSLP-Z500,599.3353271484375
3927,MER-MSSHF-RH-t2m-TCC-UW-VW-MSLP-SST,599.3749389648438
4260,MER-MSSHF-RH-SH-t2m-TCC-tp-UW-VW,599.3776245117188
5212,MER-RH-SH-TCWV-UW-VW-MSLP-Z500,599.4065551757812
4444,MER-MSSHF-RH-t2m-TCC-TCWV-tp-UW-SST,599.4329223632812
5641,MER-RH-SH-tp-UW-VW-MSLP-Z500,599.4938354492188
1193,MER-MSSHF-RH-SH-TCC-TCWV-VW-MSLP-SST-Z500,599.6216430664062
1251,MER-MSSHF-SH-t2m-TCC-UW-VW-MSLP,599.9712524414062
5547,MER-RH-t2m-TCWV-tp-UW-VW-MSLP,600.0888671875
4678,MER-RH-t2m-TCWV-tp-UW-VW-MSLP-SST,600.1348266601562
6821,MER-MSSHF-RH-SH-TCC-tp-UW-VW-MSLP,600.3278198242188
5574,MER-RH-SH-t2m-TCC-tp-UW-VW-SST,600.3406982421875
3054,MER-MSSHF-t2m-TCC-TCWV-tp-UW-MSLP-SST,600.5283203125
1892,MER-MSSHF-SH-t2m-TCC-tp-UW-Z500,600.5440673828125
4402,MER-MSSHF-RH-t2m-TCC-TCWV-UW-SST-Z500,600.5792236328125
1608,MER-MSSHF-SH-t2m-TCWV-UW-MSLP-Z500,600.8829956054688
5808,MSSHF-RH-TCC-TCWV-tp-UW-VW-SST,600.9486083984375
3413,MER-MSSHF-RH-TCC-TCWV-VW-MSLP,600.9569091796875
6602,MER-MSSHF-RH-t2m-TCC-tp-UW-MSLP,601.1387329101562
4026,MER-SH-t2m-tp-UW-VW-MSLP-SST-Z500,601.30126953125
2729,MER-TCC-tp-UW-VW-MSLP-SST-Z500,601.452880859375
1085,MER-MSSHF-TCC-tp-UW-VW-MSLP-Z500,601.7311401367188
2649,MER-RH-SH-t2m-TCWV-UW-VW-SST,601.8023681640625
5859,MER-MSSHF-RH-SH-TCC-TCWV-tp-VW-SST-Z500,601.897705078125
1355,MER-MSSHF-RH-SH-t2m-TCC-tp-UW-MSLP-SST,601.900146484375
4228,MSSHF-RH-t2m-TCC-tp-UW-VW-MSLP,602.1723022460938
4832,MER-MSSHF-SH-t2m-tp-UW-VW-MSLP-SST,602.2821655273438
